id,genres
2HRgqmZQC0MC7GeNuDIXHN,trap queen;k-pop
3CmacJj7VC4W6daC8BWd0h,
4nXrVH5xwN1w6TpmP7uu8n,vietnamese hip hop;viet chill rap;rock viet;v-pop
01qFKNWq73UfEslI0GvumE,deep underground hip hop;kentucky hip hop;rap;k-pop;hip hop;pop rap
41DlPJXKTCypXdf2eSqa03,vietnamese singer-songwriter;indie viet;v-pop;vietnamese hip hop;rock viet
1K0HQ30Wc11okzlcnFA7Ub,vietnamese hip hop;v-pop
37ull7GiBZRLhWYDBIYZzW,vietnamese hip hop;vietnamese melodic rap;v-pop;vietnamese singer-songwriter
3COYA2vgfcUhDyRlVpZy5p,vietnamese hip hop;indie viet;v-pop;vietnamese melodic rap
3uT8QfoX0BE8ZJa4h98LDW,viet chill rap
2KslE17cAJNHTsI2MI0jb2,k-pop
02CrqOYzrJR8fYOffhvRZZ,k-pop
2oVLEoBVDvYrGmzrU7dEm5,
4eeflgjzTF8xN8U2E0dech,viet chill rap
4fj4Jn4nw8fGX8xdbCntJf,v-pop
40pWxpbXoBYGPCiofujjZ6,v-pop
0e6fZkLArSmDIHnZcIua7t,vietnamese singer-songwriter;indie viet;v-pop;vietnamese hip hop;rock viet
3ZbZtdEw9U0uZW4tZItIwq,v-pop
2GE2p2dFpxp7OIz2QOFBzW,vietnamese hip hop;v-pop
7fCeYpR02Q8JVuD88hJZVT,vietnamese hip hop;indie viet;v-pop
0s7RyyUlQfd8mnnboHe18n,vietnamese hip hop;v-pop
35gc5FTZehQ5DF2BI6wkgf,viet chill rap;vietnamese hip hop;vietnamese melodic rap;v-pop
446ygEWkggc5FMbBPQSMuM,vietnamese hip hop;v-pop
31VNCmwspR7nVJ6kruUuJt,vietnamese melodic rap;vietnamese idol pop;v-pop
7gSQxwCpEMjg8wb6Y3oqe7,v-pop
4X2vrRE8Pi5hBMbWRjofAU,vietnamese hip hop;v-pop
4CUvVaAYuXtvYURLFz7EIL,vietnamese hip hop;indie viet;v-pop
226ljdOTLM2clGpm4mZvAm,viet chill rap
4qYfRfSxsmhJ1WMaywtLyI,vietnamese hip hop;vietnamese melodic rap;v-pop
6VXVYATpQXEIoZ97NnWCmn,vietnamese singer-songwriter;vietnamese melodic rap;indie viet;v-pop;rock viet
5ECHJ1llWBNYLVCYrllD3x,vietnamese hip hop;indie viet;v-pop
7tFwBnuaGXqiiONukPRaCo,v-pop
3rtOU0GwlsbCNiCqEDLZUN,viet chill rap;vietnamese hip hop;vietnamese melodic rap;vietnamese trap
1J12HjUuXfJnaUdubTEzSR,vietnamese hip hop;v-pop
4jWmhzf53Q0ZvZMuGdiR9x,vietnamese hip hop;vietnamese melodic rap;v-pop;indie viet
4gaxEUZE4z9pJAVTSFwgQI,viet lo-fi;viet chill rap;v-pop;indie viet
2uZmeuNAxSm7XfVIwLkhCx,
0BX2eDMZJrGzApf4ZGXrFi,vietnamese hip hop;v-pop
5J3m0taZ0W1E9HTE0MwcSv,vietnamese hip hop
1bG6Q8sR8jda7ryI365y8o,vietnamese singer-songwriter;indie viet;v-pop;cantopop;rock viet
1o6cYDMHvKOfizi4d9Lqxr,indie viet;v-pop
0SLzsfxED15vyUccX4bCqo,vietnamese hip hop;indie viet;v-pop;vietnamese melodic rap
4exlWP8cokkWVCvyP3kg7c,indie viet;vietnamese melodic rap;v-pop;vietnamese hip hop;viet chill rap
7mbWwlHgukuuW8r7Nc3FHv,
26zqmmkqUK6mCc87XDzPym,vietnamese hip hop;vietnamese melodic rap;v-pop
5BTzf3doGTigDIYUFtbkI9,vietnamese hip hop;indie viet;v-pop
2nWlJ8gwkn5KPADD07zcmw,venezuelan hip hop;venezuelan rock;trap venezolano
3QbfCvCAOCrSGNcGjtOjYM,pop venezolano
0Sr7ssScx54yxdM2ols7nW,trap boricua;urbano latino;trap latino
4zbEItKoaRId1vRZkoO0Uh,pop venezolano;urbano latino;reggaeton;trap latino
7bywjHOc0wSjGGbj04XbVi,colombian pop;reggaeton colombiano;trap latino;reggaeton;pop reggaeton;urbano latino
2j3XlpQ49n1bbXe3M7cZi2,
7lcbpfihslisNObKdHjyLo,urbano latino;trap latino
0XCxhCE2QdinjWjxKiwMeC,pop reggaeton
1cUQCjn7fGme2wZQrWKvhw,reggaeton;urbano latino;trap latino
3mg9jYNC1NihbthlglzrWP,latin pop;colombian pop;reggaeton colombiano;trap latino;reggaeton;pop reggaeton;trap colombiano;urbano latino
60u6hcpH5Qm1M3xESdNBrB,reggaeton colombiano;urbano latino;trap latino
5QjmUqgpPQgXgg4606DqZF,
5pVJ3IlnpIorU44oXizzG5,reggaeton;urbano latino;panamanian pop;r&b en espanol
3lfjd8A0DkB84yrvjzkbry,venezuelan rock;gypsy jazz;colombian pop;venezuelan hip hop;latin alternative
2btNsI4OvcVl7SAHQQDHFB,colombian pop;reggaeton colombiano;trap latino;reggaeton;urbano latino
2eQFYGegTZaObk2kuBz83Z,reggaeton;urbano latino;puerto rican pop;trap latino
2gmd7lY3QSzLh0xIY4cRvi,colombian pop;reggaeton colombiano;trap latino;reggaeton;pop reggaeton;urbano latino
7eNwwoxDR8KVzNAuGvliAO,trap boricua;urbano latino;latin pop;trap latino
0iVEujJcafOBnxa654fJYu,latin pop;reggaeton colombiano;trap latino;reggaeton;urbano latino
6a9Z1jUms915w4O7N1PxjY,afrobeats;reggaeton flow;trap latino;reggaeton;puerto rican pop;urbano latino
5DdLSEyKh8zgCrJq2hFj92,trap boricua;urbano latino;trap latino
3OJDtCdYs8QJnui708tEU3,dance pop;pop;latin pop;colombian pop
7iQXYTyuG13aoeHxGG28Nh,colombian pop;reggaeton colombiano;trap latino;reggaeton;pop reggaeton;urbano latino
0fKK51bU6lcCCwdNnv64t3,trap boricua;colombian pop;reggaeton flow;reggaeton colombiano;trap latino;reggaeton;urbano latino
2g11HhWmh6h2EgnMK3WWSu,norwegian pop
2SR0alFA2oWYXSoePGTj0V,k-pop
7E5qtyFBvbyfNbHOTR42rs,trap boricua;urbano latino;trap latino
3PJgmyLaybZtALX4mrgbiD,trap boricua;reggaeton flow;trap latino;reggaeton;puerto rican pop;urbano latino
64CxbY7HD7nOtmfoaiWYMT,venezuelan hip hop;venezuelan rock
1fTjqf10accJCDYstPwwZ6,
505v13epFXodT9fVAJ6h8k,reggaeton;urbano latino;reggaeton colombiano
3KZCP2StVGdWkOKyRZNWA4,reggaeton;urbano latino;trap latino
0EhmTBq33eARyOz3SIi4P2,cantautora argentina;pop venezolano
4lqJsJd7kqWVvamQ4aFHA8,colombian pop;reggaeton colombiano;trap latino;reggaeton;puerto rican pop;pop reggaeton;urbano latino
6s9PpYbExKlHuJ8JMyep21,dembow
08pbRBstuvH7ArRxeb8fwT,colombian hip hop;reggaeton colombiano;trap latino;mexican hip hop;urbano latino
0w0e3Te2Rd4t8gGKi3sU6a,trap boricua;urbano latino;trap latino
1uFW6czrHk5PsK3s6gOI7C,italian adult pop;mexican pop;europop;trap latino;reggaeton;puerto rican pop;urbano latino;latin arena pop
0CyhLA1qjIinJAGnJYk1oK,venezuelan hip hop;venezuelan rock
2CeKVsFFXG4QzA415QygGb,colombian pop;reggaeton colombiano;trap latino;reggaeton;pop reggaeton;urbano latino
55mYWV1RJDUKziwn1Is0Vt,plena uruguaya
7kysxhCfP7fFebn7iZU8Av,
0c82YIGpQ5dCaXpTNCk4sb,pagode baiano;pop;funk rj;trap argentino;funk pop;trap latino;urbano latino;pop nacional;pop argentino
2FFr0vdtqPBTK3RW0c7T5C,
0sf2srhosDzfozt7AfF1vO,plena uruguaya
5AkLEnorFvb7WIJOGqKYVT,trap argentino;argentine hip hop;rap conciencia;rap underground argentino
