id,genres
6ENf77i5DmXDimXle5Ux3C,mandopop
2RJ7Q3gHb6cOeNBioSARni,t-pop;thai indie pop
3VmhkkVCfWF8GEhYcnEy1z,czsk hip hop
5bL7lLuBr3is5XQkkq0aDJ,musica madeirense;hip hop tuga
5PlvEOKEO40fwk1qHXGuH0,desi hip hop;hindi hip hop;pakistani hip hop;urdu hip hop
29xr6qxvadrU5bIYywqRlW,afrobeats;nigerian pop;nigerian hip hop
2bKcKMDU9JHtLJ8xeHR46X,afrobeats;nigerian pop
3gengEn3je6KGekvgNnHxA,german hip hop;german pop
6I6Pr0gPQJlvSTctTMVI94,lithuanian pop
0cOg60dw1LdwzrDEZuAeLC,lithuanian pop
0zqGsExr8GxWqoaYaa78xU,k-rap;korean r&b
0ofsKCwrfh6wigMU9IHsAF,rome indie;italian pop;italian adult pop
26Mb7G8uQIo2uXYnAAUFUn,trap italiana;italian hip hop;italian pop
1SfP5ccRKd3152ZwCbhS38,icelandic pop;icelandic hip hop
1JHNoQh4ng0GxiDxjPeqBL,icelandic pop;icelandic hip hop
3uQbheRyseXLdblWD613NZ,icelandic pop;icelandic hip hop
2mZaUAjM2b6GUGwHMOjgQf,french hip hop;rap conscient;pop urbaine;cloud rap francais
2jH0AqIwoPWMtG1d5z1J6a,french hip hop;rap conscient;pop urbaine;cloud rap francais
5ai7jBIyIC7KqJ4j0qJxfT,french hip hop;rap conscient;pop urbaine;cloud rap francais
4nyBlmu7zQiuaJjIGKe1qQ,french hip hop;rap conscient;pop urbaine;cloud rap francais
03taSSoKs2Q6Y0oH5t78Kt,french hip hop;rap conscient;pop urbaine;cloud rap francais
374qWICeo4ff4xAWo20N2F,finnish dance pop;suomi rock;iskelma;finnish pop
3ls1huXteZ0x7odooGpSMY,finnish dance pop;finnish pop
6Bc55onCuouUiPcY1abddK,electro bailando;electro latino
0F2xORrS26LJ7z3T6wVeJ7,
5D36tN8u2LSrXmL1CnhhhQ,russian trap;russian drain;russian hip hop;russian viral rap
2Ck3IZ3qSf0Csaf2GAhIS2,russian drill;russian hip hop;russian viral rap;russian trap
5lr7D9JQvMzmnNQ6yM6T7a,amapiano;barcadi
4yu5rGWvXcv6Yih8NC3iL7,afrikaans;south african pop;afrikaans hip hop
6KRsQtqdY4EilCDbWW1EgV,kinderliedjies
2PGxiV2TSgVHd02eBd0Kz1,south african pop;kwaito;afro soul
3vdju075mBX4GrJ0ZvojZn,kwaito
0UmCLFSIFAeKNklo0OQBOE,
3clZuUiF7kpYwHqqPp1ODb,turkish pop
3zvVdOWNaByAZBAPfNKb30,arabesk;turkish pop;karadeniz turkuleri;karadeniz pop;turkish folk
4sw8J2dZcT9lQE0kRfSaar,urbano chileno
3YT1YOdnMB1YsbHfOUzoPm,
7ufaG4y5Oy7HC5Ig2RwiII,french hip hop;rap conscient;pop urbaine;cloud rap francais
3IgEWo5IVygGPj1gIXGnEK,
6kLRi2qooc66a2gBWCy5hO,afrikaans;cape town indie;afrikaans hip hop
2kdQY3b6dDRGonyIzcWljc,african rock
3OFwjx4x49bqIi8W7kRzzV,kwaito
0F7pij0rEvmbMaqzckKHNi,world;south african choral;afropop
6ggmioMS1gYK0I5AAdv2NH,polish hip hop;polish trap
1p5GikXPiCkw5T2VrSPrO1,afrobeats;bronx drill;nigerian pop
6vGIf9ajywvcQzIdQVGnwG,afrobeats;nigerian pop;nigerian hip hop
3CmeWai5fvSIvgOy8Nw6sc,
3LbDqWLb8r2Ok6QN11iX8s,
6NMb67Ozf3rAwvtLjvL18v,french hip hop;rap conscient;pop urbaine;cloud rap francais
5b9ic5pD7G7VsABtoW1zGd,
5TfBut13yg4mQ1HFfHIOt5,frauenrap;german hip hop;german drill
3bSdSvGsYkPE48DktgEBZl,russian hip hop;russian viral rap
5FJssp1RN96K5AI7K2gJLY,russian hip hop;russian trap
65UliXqF4kM3qJbt0YsYvL,amapiano
7qzQfE2se3Ai5reZcxs920,rap;r&b
2e2dOJMIieLvAh2g7kN9dP,pop venezolano
2dTBLcAGxJNoEcMyA0txeg,swedish drill;swedish gangsta rap;swedish trap pop;swedish hip hop;swedish trap
2qaLGs4i8KjajslMwpA3f6,swedish trap pop;swedish hip hop;swedish trap;swedish gangsta rap
2qJ4IpSiX2EOMKwAuMvngO,romanian trap
1H574tTk1yBXnDfdfW8woR,polish hip hop;polish viral pop
2HbTwmup8SWz5tMcKZXFLh,hip hop;chicago rap;pop;drill;dance pop;pop dance;afrobeats;edm;chicago drill;pop rap;big room;trap;rap
7IdbB0rUe41sCXab98an5s,norwegian pop
3MWFPfsyvLWKceLAPx0hHY,swedish eurodance;danspunk;norwegian pop;norwegian pop rap
2KbFskDFrgLGKBKIVDrzbh,afrobeats;nigerian pop;jamaican dancehall;nigerian hip hop
2ZAlI005a5nE5ys5QGOiQr,afrobeats;nigerian pop;nigerian hip hop
0J0zVe6dR8atTdiWfIBFP7,nigerian hip hop;afrobeats;uk drill;uk hip hop;nigerian pop
5GU7NV6PiTRmxWb0Q5D4eH,afrobeats;nigerian pop;nigerian hip hop
2qsMmsGUXoXP3l78AHoiEn,afrobeats;nigerian pop;nigerian hip hop
00tUE6zCYP3B4Kb4fL76Kd,lithuanian pop
7JQjyjINzsexX0eZTijo1E,lithuanian pop
4BZuHDcmgmRaAwPd6IO7MY,k-rap;korean r&b
6gsWZq8WFyHarPDRhs8Gf7,italian hip hop
50A2O8cyECu8gcIxOkck8p,trap italiana;italian hip hop;drill italiana
4JpoKw3y83kB8aW5kGLuS2,italian hip hop;milan indie;italian pop
4ZftkJT496KpPzg90bJo6A,icelandic hip hop
6MZNuQvVYVh5jvSH0Q3JCJ,icelandic pop;icelandic hip hop
2SR1JrqxNAUIolQIx6OV56,icelandic pop;icelandic hip hop
70bMoHeE4bJ8AwP3qrUe1F,french hip hop;pop urbaine;rap francais;r&b francais;drill francais
7FKZix4pk2qf4SZVMOYich,french hip hop;drill francais;pop urbaine
4nZdmbr4HlIzLN4gnHFCdB,finnish hip hop
4RcBdmcjMn7qv0BeVfW8ys,suomirap;finnish hip hop
1fJvIjvIEnCxYr2mvOiWg5,
39R1kVmiHKlRHQapRMyJ6G,finnish dance pop;finnish hip hop;finnish pop
0lJHvFF2Jur0KowHti4jUg,urbano espanol;rap canario;trap latino;urbano latino
2HbrI0oakRE7qNXoK74zNR,shaabi;arab pop;egyptian pop
2zu2gViGH8vMhNMuSx6n1h,danish pop;danish hip hop
2xOym9KV2CvzXPYTZXgBym,german hip hop
3tlG0NcGrPLnM4V6SlqtWW,albanian hip hop;german hip hop;german drill
5EcqAo2mBsnSUeQsIgsY8q,russian hyperpop;russian drain;russian hip hop
2sj4rMabpUWzy6xATdkM0u,ghanaian hip hop;asakaa;south african hip hop;ghanaian pop;ghanaian alternative;south african trap
4I2OqJ0qap2HFxq3JlTION,south african trap;south african hip hop
7uloC7Sgo5KNFKrgRepyhJ,south african trap;south african hip hop
0M5Vaj3y4yhNQ1PX471F8P,v-pop
67nepsnrcZkowTxMWigSbb,hip hop;canadian pop;canadian hip hop;pop rap;slap house;rap
7hdlsVcSvHaTjBoAUYkDfc,
4Yzlz45QgjUKZmN2KrK4AP,ukrainian pop
1qzvzPfqzpNQ01ZBOEkVlf,k-pop;k-pop boy group
5g5vNMF2yJjWtERlMykJeD,swedish trap pop;swedish hip hop;swedish drill
2dSAFb1xzoJffGzfxU4BaE,swedish drill;swedish gangsta rap;swedish trap pop;swedish hip hop;swedish trap
1KB9MeVcnX2rjNGRYvP4aU,swedish pop;swedish indie rock;swedish pop rap;fotbollslatar;classic swedish pop;gothenburg indie;swedish idol pop
56flxHBv6c08oCUjQhXeb1,swedish trap pop;swedish hip hop;swedish trap;swedish gangsta rap
5jjPoxrz3NRainOx1DtAPv,romanian trap
2aVHbey5IovZh4mnKN2AcT,polish hip hop;polish viral pop
1TcS5QMzEZJiCaRjUTCduI,polish hip hop
0SKtwweSzD6GfrTnOfHq3Q,polish hip hop
